------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.81 port 5001 connected with 192.168.2.85 port 58698
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 54.0-55.0 sec  3.40 MBytes  28.5 Mbits/sec   1.354 ms    2/ 2424 (0.083%)
[  3] 55.0-56.0 sec  3.59 MBytes  30.1 Mbits/sec   2.438 ms    1/ 2561 (0.039%)
[  3] 56.0-57.0 sec  3.99 MBytes  33.5 Mbits/sec   2.737 ms    3/ 2850 (0.11%)
[  3] 57.0-58.0 sec  3.46 MBytes  29.1 Mbits/sec   0.783 ms    1/ 2472 (0.04%)
[  3] 58.0-59.0 sec  4.18 MBytes  35.1 Mbits/sec   0.743 ms    0/ 2983 (0%)
[  3] 59.0-60.0 sec  2.72 MBytes  22.8 Mbits/sec   1.386 ms    1/ 1943 (0.051%)
[  3] 60.0-61.0 sec  2.84 MBytes  23.8 Mbits/sec   0.559 ms    0/ 2023 (0%)
[  3] 61.0-62.0 sec  3.22 MBytes  27.0 Mbits/sec   3.228 ms    2/ 2296 (0.087%)
[  3] 62.0-63.0 sec  2.86 MBytes  24.0 Mbits/sec   1.446 ms    1/ 2041 (0.049%)
[  3] 63.0-64.0 sec  3.80 MBytes  31.9 Mbits/sec   0.672 ms    0/ 2713 (0%)
[  3] 64.0-65.0 sec  4.43 MBytes  37.1 Mbits/sec   0.810 ms    1/ 3158 (0.032%)
[  3] 65.0-66.0 sec  3.21 MBytes  26.9 Mbits/sec   1.216 ms    0/ 2289 (0%)
[  3] 66.0-67.0 sec  3.13 MBytes  26.2 Mbits/sec   2.047 ms    0/ 2232 (0%)
[  3] 67.0-68.0 sec  2.61 MBytes  21.9 Mbits/sec   5.378 ms    2/ 1866 (0.11%)
[  3] 68.0-69.0 sec  5.03 MBytes  42.2 Mbits/sec   0.388 ms    0/ 3587 (0%)
[  3] 69.0-70.0 sec  3.34 MBytes  28.0 Mbits/sec   0.384 ms    2/ 2383 (0.084%)
[  3] 70.0-71.0 sec  3.19 MBytes  26.8 Mbits/sec   1.640 ms    0/ 2279 (0%)
[  3] 71.0-72.0 sec  2.91 MBytes  24.4 Mbits/sec   0.870 ms    2/ 2076 (0.096%)
