------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.81 port 5001 connected with 192.168.2.85 port 44634
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  16.0 MBytes   134 Mbits/sec   0.097 ms    0/11389 (0%)
[  3]  1.0- 2.0 sec  16.7 MBytes   140 Mbits/sec   0.205 ms    0/11920 (0%)
[  3]  2.0- 3.0 sec  16.7 MBytes   140 Mbits/sec   0.143 ms    0/11917 (0%)
[  3]  3.0- 4.0 sec  16.9 MBytes   142 Mbits/sec   0.115 ms    0/12054 (0%)
[  3]  4.0- 5.0 sec  16.8 MBytes   141 Mbits/sec   0.167 ms    0/11971 (0%)
[  3]  5.0- 6.0 sec  16.3 MBytes   137 Mbits/sec   0.324 ms    0/11656 (0%)
[  3]  6.0- 7.0 sec  16.5 MBytes   139 Mbits/sec   0.300 ms    0/11804 (0%)
[  3]  7.0- 8.0 sec  16.6 MBytes   139 Mbits/sec   0.169 ms    0/11841 (0%)
[  3]  8.0- 9.0 sec  16.2 MBytes   136 Mbits/sec   0.327 ms    0/11542 (0%)
[  3]  9.0-10.0 sec  16.3 MBytes   136 Mbits/sec   0.113 ms    0/11606 (0%)
[  3] 10.0-11.0 sec  15.9 MBytes   133 Mbits/sec   1.090 ms    0/11310 (0%)
[  3] 11.0-12.0 sec  7.89 MBytes  66.2 Mbits/sec   1.390 ms    0/ 5630 (0%)
[  3] 12.0-13.0 sec  7.81 MBytes  65.6 Mbits/sec   1.289 ms    0/ 5574 (0%)
[  3] 13.0-14.0 sec  4.47 MBytes  37.5 Mbits/sec   0.443 ms    0/ 3188 (0%)
[  3] 14.0-15.0 sec  4.68 MBytes  39.2 Mbits/sec   1.182 ms    0/ 3335 (0%)
[  3] 15.0-16.0 sec  5.68 MBytes  47.6 Mbits/sec   0.938 ms    0/ 4050 (0%)
[  3] 16.0-17.0 sec  4.75 MBytes  39.9 Mbits/sec   0.699 ms    0/ 3390 (0%)
[  3] 17.0-18.0 sec  6.47 MBytes  54.3 Mbits/sec   0.499 ms    0/ 4616 (0%)
[  3] 18.0-19.0 sec  5.60 MBytes  47.0 Mbits/sec   0.480 ms    0/ 3997 (0%)
[  3] 19.0-20.0 sec  4.50 MBytes  37.7 Mbits/sec   0.436 ms    0/ 3208 (0%)
[  3] 20.0-21.0 sec  4.32 MBytes  36.3 Mbits/sec   0.890 ms    0/ 3084 (0%)
[  3] 21.0-22.0 sec  4.54 MBytes  38.1 Mbits/sec   0.972 ms    0/ 3237 (0%)
[  3] 22.0-23.0 sec  5.41 MBytes  45.4 Mbits/sec   1.615 ms    0/ 3862 (0%)
[  3] 23.0-24.0 sec  4.21 MBytes  35.4 Mbits/sec   1.612 ms    0/ 3006 (0%)
[  3] 24.0-25.0 sec  4.37 MBytes  36.7 Mbits/sec   4.018 ms    0/ 3120 (0%)
[  3] 25.0-26.0 sec  4.41 MBytes  37.0 Mbits/sec   3.349 ms    0/ 3147 (0%)
[  3] 26.0-27.0 sec  5.32 MBytes  44.6 Mbits/sec   3.467 ms    0/ 3792 (0%)
[  3] 27.0-28.0 sec  4.50 MBytes  37.8 Mbits/sec   1.915 ms    1/ 3213 (0.031%)
[  3] 28.0-29.0 sec  4.86 MBytes  40.8 Mbits/sec   2.759 ms    7/ 3475 (0.2%)
[  3] 29.0-30.0 sec  5.49 MBytes  46.0 Mbits/sec   0.239 ms    1/ 3916 (0.026%)
[  3] 30.0-31.0 sec  5.02 MBytes  42.1 Mbits/sec   0.087 ms    3/ 3586 (0.084%)
[  3] 31.0-32.0 sec  4.48 MBytes  37.6 Mbits/sec   0.410 ms    0/ 3195 (0%)
[  3] 32.0-33.0 sec  5.38 MBytes  45.1 Mbits/sec   0.555 ms   26/ 3863 (0.67%)
[  3] 33.0-34.0 sec  3.60 MBytes  30.2 Mbits/sec   0.746 ms    0/ 2570 (0%)
[  3] 34.0-35.0 sec  3.86 MBytes  32.4 Mbits/sec   0.937 ms    0/ 2752 (0%)
[  3] 35.0-36.0 sec  4.90 MBytes  41.1 Mbits/sec   1.995 ms    0/ 3498 (0%)
[  3] 36.0-37.0 sec  3.43 MBytes  28.8 Mbits/sec   3.063 ms    0/ 2446 (0%)
[  3] 37.0-38.0 sec  3.70 MBytes  31.0 Mbits/sec   0.688 ms    0/ 2640 (0%)
[  3] 38.0-39.0 sec  3.85 MBytes  32.3 Mbits/sec   0.730 ms    5/ 2752 (0.18%)
[  3] 39.0-40.0 sec  3.41 MBytes  28.6 Mbits/sec   3.973 ms    0/ 2434 (0%)
[  3] 40.0-41.0 sec  3.43 MBytes  28.8 Mbits/sec   3.068 ms    0/ 2450 (0%)
[  3] 41.0-42.0 sec  3.80 MBytes  31.9 Mbits/sec   0.531 ms    0/ 2711 (0%)
[  3] 42.0-43.0 sec  3.76 MBytes  31.6 Mbits/sec   3.219 ms    0/ 2685 (0%)
[  3] 43.0-44.0 sec  4.16 MBytes  34.9 Mbits/sec   3.041 ms    4/ 2968 (0.13%)
[  3] 44.0-45.0 sec  4.04 MBytes  33.9 Mbits/sec   1.974 ms    1/ 2880 (0.035%)
[  3] 45.0-46.0 sec  5.04 MBytes  42.3 Mbits/sec   1.050 ms    4/ 3602 (0.11%)
[  3] 46.0-47.0 sec  4.35 MBytes  36.5 Mbits/sec   0.850 ms    0/ 3104 (0%)
[  3] 47.0-48.0 sec  3.47 MBytes  29.1 Mbits/sec   2.686 ms    0/ 2478 (0%)
[  3] 48.0-49.0 sec  4.13 MBytes  34.7 Mbits/sec   0.879 ms    2/ 2949 (0.068%)
[  3] 49.0-50.0 sec  3.44 MBytes  28.9 Mbits/sec   0.688 ms    0/ 2454 (0%)
[  3] 50.0-51.0 sec  4.49 MBytes  37.6 Mbits/sec   8.835 ms    3/ 3203 (0.094%)
[  3] 51.0-52.0 sec  3.34 MBytes  28.0 Mbits/sec   1.747 ms    3/ 2382 (0.13%)
[  3] 52.0-53.0 sec  4.74 MBytes  39.8 Mbits/sec   0.789 ms    2/ 3383 (0.059%)
[  3] 53.0-54.0 sec  3.94 MBytes  33.1 Mbits/sec   2.567 ms    0/ 2813 (0%)
[  3] 54.0-55.0 sec  2.54 MBytes  21.3 Mbits/sec   0.983 ms    3/ 1813 (0.17%)
[  3] 55.0-56.0 sec  3.56 MBytes  29.9 Mbits/sec   1.030 ms    0/ 2541 (0%)
[  3] 56.0-57.0 sec  3.66 MBytes  30.7 Mbits/sec   0.448 ms    0/ 2613 (0%)
[  3] 57.0-58.0 sec  2.59 MBytes  21.7 Mbits/sec   1.062 ms    0/ 1848 (0%)
[  3] 58.0-59.0 sec  3.38 MBytes  28.4 Mbits/sec   1.658 ms    0/ 2413 (0%)
