------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.81 port 5001 connected with 192.168.2.85 port 58549
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  14.6 MBytes   123 Mbits/sec   0.359 ms    0/10447 (0%)
[  3]  1.0- 2.0 sec  15.7 MBytes   131 Mbits/sec   0.228 ms    0/11167 (0%)
[  3]  2.0- 3.0 sec  16.2 MBytes   136 Mbits/sec   0.669 ms    0/11545 (0%)
[  3]  3.0- 4.0 sec  15.7 MBytes   132 Mbits/sec   0.052 ms    0/11230 (0%)
[  3]  4.0- 5.0 sec  14.7 MBytes   123 Mbits/sec   0.319 ms    0/10477 (0%)
[  3]  5.0- 6.0 sec  16.0 MBytes   134 Mbits/sec   0.425 ms    0/11424 (0%)
[  3]  6.0- 7.0 sec  15.8 MBytes   132 Mbits/sec   0.315 ms    0/11245 (0%)
[  3]  7.0- 8.0 sec  15.2 MBytes   127 Mbits/sec   0.081 ms    0/10828 (0%)
[  3]  8.0- 9.0 sec  15.9 MBytes   133 Mbits/sec   0.300 ms    0/11309 (0%)
[  3]  9.0-10.0 sec  15.2 MBytes   127 Mbits/sec   0.582 ms    0/10841 (0%)
[  3] 10.0-11.0 sec  15.6 MBytes   131 Mbits/sec   0.163 ms    0/11104 (0%)
[  3] 11.0-12.0 sec  11.8 MBytes  99.2 Mbits/sec   0.436 ms    0/ 8434 (0%)
[  3] 12.0-13.0 sec  6.48 MBytes  54.4 Mbits/sec   1.059 ms    0/ 4622 (0%)
[  3] 13.0-14.0 sec  4.44 MBytes  37.2 Mbits/sec   0.137 ms    0/ 3164 (0%)
[  3] 14.0-15.0 sec  4.07 MBytes  34.1 Mbits/sec   0.833 ms    0/ 2903 (0%)
[  3] 15.0-16.0 sec  5.30 MBytes  44.4 Mbits/sec   0.383 ms    0/ 3779 (0%)
[  3] 16.0-17.0 sec  5.00 MBytes  42.0 Mbits/sec   0.677 ms    0/ 3568 (0%)
