------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 192.168.2.81 port 5001 connected with 192.168.2.85 port 41905
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec  16.0 MBytes   134 Mbits/sec   0.410 ms    0/11386 (0%)
[  3] 54.0-55.0 sec  3.94 MBytes  33.0 Mbits/sec   1.816 ms    0/ 2808 (0%)
[  3] 55.0-56.0 sec  4.28 MBytes  35.9 Mbits/sec   0.538 ms    0/ 3051 (0%)
[  3] 56.0-57.0 sec  3.91 MBytes  32.8 Mbits/sec   0.757 ms    0/ 2787 (0%)
[  3] 57.0-58.0 sec  3.87 MBytes  32.4 Mbits/sec   3.052 ms    0/ 2757 (0%)
[  3] 58.0-59.0 sec  3.22 MBytes  27.0 Mbits/sec   0.814 ms    0/ 2295 (0%)
[  3] 59.0-60.0 sec  4.95 MBytes  41.5 Mbits/sec   1.398 ms    0/ 3531 (0%)
[  3] 60.0-61.0 sec  3.19 MBytes  26.8 Mbits/sec   0.442 ms    0/ 2278 (0%)
[  3] 61.0-62.0 sec  3.87 MBytes  32.5 Mbits/sec   4.928 ms    0/ 2763 (0%)
[  3] 62.0-63.0 sec  3.76 MBytes  31.6 Mbits/sec   1.256 ms    0/ 2683 (0%)
[  3] 63.0-64.0 sec  4.41 MBytes  37.0 Mbits/sec   0.580 ms    0/ 3143 (0%)
[  3] 64.0-65.0 sec  4.31 MBytes  36.2 Mbits/sec   3.789 ms    0/ 3076 (0%)
[  3] 65.0-66.0 sec  3.82 MBytes  32.0 Mbits/sec   1.681 ms    0/ 2724 (0%)
[  3] 66.0-67.0 sec  4.61 MBytes  38.6 Mbits/sec   0.243 ms    0/ 3286 (0%)
[  3] 67.0-68.0 sec  4.70 MBytes  39.4 Mbits/sec   0.919 ms    0/ 3353 (0%)
[  3] 68.0-69.0 sec  3.40 MBytes  28.5 Mbits/sec   0.997 ms    2/ 2425 (0.082%)
[  3] 69.0-70.0 sec  4.24 MBytes  35.6 Mbits/sec   2.102 ms    2/ 3029 (0.066%)
[  3] 70.0-71.0 sec  4.53 MBytes  38.0 Mbits/sec   4.479 ms    3/ 3232 (0.093%)
[  3] 71.0-72.0 sec  4.10 MBytes  34.4 Mbits/sec   1.398 ms    2/ 2927 (0.068%)
[  3] 72.0-73.0 sec  4.03 MBytes  33.8 Mbits/sec   0.346 ms    0/ 2875 (0%)
[  3] 73.0-74.0 sec  4.32 MBytes  36.2 Mbits/sec   1.810 ms    2/ 3080 (0.065%)
[  3] 74.0-75.0 sec  4.29 MBytes  36.0 Mbits/sec   2.972 ms    0/ 3060 (0%)
[  3] 75.0-76.0 sec  5.18 MBytes  43.4 Mbits/sec   1.060 ms    0/ 3692 (0%)
[  3] 76.0-77.0 sec  4.58 MBytes  38.4 Mbits/sec   1.661 ms    2/ 3267 (0.061%)
[  3] 77.0-78.0 sec  3.64 MBytes  30.5 Mbits/sec   2.324 ms    2/ 2595 (0.077%)
[  3] 78.0-79.0 sec  4.72 MBytes  39.6 Mbits/sec   0.207 ms    1/ 3365 (0.03%)
[  3] 79.0-80.0 sec  3.36 MBytes  28.2 Mbits/sec   0.955 ms    0/ 2400 (0%)
[  3] 80.0-81.0 sec  3.47 MBytes  29.1 Mbits/sec   1.333 ms    1/ 2476 (0.04%)
[  3] 81.0-82.0 sec  3.12 MBytes  26.2 Mbits/sec   1.921 ms    0/ 2227 (0%)
[  3] 82.0-83.0 sec  4.11 MBytes  34.5 Mbits/sec   4.949 ms    0/ 2933 (0%)
[  3] 83.0-84.0 sec  3.98 MBytes  33.4 Mbits/sec   1.765 ms    0/ 2841 (0%)
[  3] 84.0-85.0 sec  3.17 MBytes  26.6 Mbits/sec   6.281 ms    0/ 2258 (0%)
[  3] 85.0-86.0 sec  4.95 MBytes  41.5 Mbits/sec   0.617 ms    6/ 3536 (0.17%)
[  3] 86.0-87.0 sec  3.42 MBytes  28.7 Mbits/sec   1.962 ms    0/ 2440 (0%)
[  3] 87.0-88.0 sec  3.62 MBytes  30.3 Mbits/sec   3.151 ms    1/ 2580 (0.039%)
[  3] 88.0-89.0 sec  3.68 MBytes  30.9 Mbits/sec   3.798 ms    2/ 2626 (0.076%)
[  3] 89.0-90.0 sec  3.82 MBytes  32.0 Mbits/sec   1.894 ms    1/ 2724 (0.037%)
[  3] 90.0-91.0 sec  4.24 MBytes  35.5 Mbits/sec   2.022 ms    0/ 3022 (0%)
[  3] 91.0-92.0 sec  2.82 MBytes  23.6 Mbits/sec   0.980 ms    0/ 2008 (0%)
[  3] 92.0-93.0 sec  3.22 MBytes  27.0 Mbits/sec   3.541 ms    1/ 2298 (0.044%)
[  3] 93.0-94.0 sec  2.51 MBytes  21.0 Mbits/sec   3.134 ms    0/ 1788 (0%)
[  3] 94.0-95.0 sec  2.96 MBytes  24.8 Mbits/sec   1.774 ms    0/ 2112 (0%)
